what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1381657098033
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1381657098034
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1381657098037
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1381657098039
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1381657098042
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1381657098043
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1381657098044
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1381657098045
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1381657098047
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1381657098050
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1381657098050
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1381657098052
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1381657098053
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1381657098054
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1381657098055
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1381657098056
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1381657098058
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1381657098059
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1381657098060
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1381657098061
os,sysinfo,,,"win32",1381657098069
arch,sysinfo,,,"x86_64",1381657098069
ws,sysinfo,,,"win32",1381657098069
locale,sysinfo,,,"pl_PL",1381657098069
processors,sysinfo,,,"2",1381657098069
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1381657098069
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1381657098069
java.specification.name,sysinfo,,,"Java Platform API Specification",1381657098069
java.specification.vendor,sysinfo,,,"Oracle Corporation",1381657098069
java.specification.version,sysinfo,,,"1.7",1381657098069
java.vendor,sysinfo,,,"Oracle Corporation",1381657098069
java.version,sysinfo,,,"1.7.0_40",1381657098069
java.vm.info,sysinfo,,,"mixed mode",1381657098069
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1381657098069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1381657098069
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1381657098069
java.vm.specification.version,sysinfo,,,"1.7",1381657098069
java.vm.vendor,sysinfo,,,"Oracle Corporation",1381657098069
java.vm.version,sysinfo,,,"24.0-b56",1381657098069
